# PuBe spectrum, IAEA TRS-403 Table 4.X (CERN), Col2 'at 1 m distance'
# Col1: Energy [eV]   Col2: fluence per lethargy E*dPhi/dE [relative units]
# Lethargy representation: treat Col2 as per-bin probability weight on a log-E grid.
# Do NOT treat Col2 as dPhi/dE directly.
1.000000e-03  0.000000e+00
2.200000e-03  1.810000e-02
4.600000e-03  1.810000e-02
1.000000e-02  1.810000e-02
2.200000e-02  1.700000e-02
4.600000e-02  1.600000e-02
1.000000e-01  1.400000e-02
2.100000e-01  8.320000e-03
4.600000e-01  4.510000e-03
1.000000e+00  1.400000e-02
2.200000e+00  3.510000e-03
4.600000e+00  2.610000e-03
1.000000e+01  1.200000e-02
2.200000e+01  7.120000e-03
4.600000e+01  5.010000e-03
1.000000e+02  4.510000e-03
2.200000e+02  7.020000e-03
4.600000e+02  1.600000e-02
1.000000e+03  8.220000e-03
2.200000e+03  7.420000e-03
4.600000e+03  9.130000e-03
1.000000e+04  7.920000e-03
1.300000e+04  6.120000e-03
1.600000e+04  5.010000e-03
2.000000e+04  1.200000e-03
2.500000e+04  5.720000e-03
3.200000e+04  3.910000e-03
4.000000e+04  1.910000e-02
5.000000e+04  1.600000e-02
6.300000e+04  1.100000e-02
7.900000e+04  1.100000e-02
1.000000e+05  1.810000e-02
1.300000e+05  3.210000e-02
1.600000e+05  7.420000e-02
2.000000e+05  7.620000e-02
2.500000e+05  5.620000e-02
3.200000e+05  6.720000e-02
4.000000e+05  7.620000e-02
5.000000e+05  8.930000e-02
6.300000e+05  5.420000e-02
7.900000e+05  1.910000e-01
1.000000e+06  2.810000e-01
1.300000e+06  2.210000e-01
1.600000e+06  1.810000e-01
2.000000e+06  2.410000e-02
2.500000e+06  1.500000e-01
3.200000e+06  6.220000e-01
4.000000e+06  4.810000e-01
5.000000e+06  4.310000e-01
6.300000e+06  2.810000e-01
7.900000e+06  1.300000e-01
1.000000e+07  7.820000e-03
1.600000e+07  4.110000e-04
2.500000e+07  0.000000e+00
4.000000e+07  0.000000e+00
6.300000e+07  0.000000e+00
1.000000e+08  0.000000e+00
1.600000e+08  0.000000e+00
2.500000e+08  0.000000e+00
4.000000e+08  0.000000e+00
