# PuBe spectrum, IAEA TRS-403 Table 4.XI (LLNL/PNL), Col2 'Bare Pu-Be source, room scatter'
# Col1: Energy [eV]   Col2: fluence per lethargy E*dPhi/dE [relative units]
# Lethargy representation: treat Col2 as per-bin probability weight on a log-E grid.
# Do NOT treat Col2 as dPhi/dE directly.
1.000000e-03  0.000000e+00
2.150000e-03  0.000000e+00
4.640000e-03  0.000000e+00
1.000000e-02  8.080000e-03
2.150000e-02  1.020000e-02
4.640000e-02  1.310000e-02
1.000000e-01  1.460000e-02
2.150000e-01  1.380000e-02
4.640000e-01  9.930000e-03
1.000000e+00  7.630000e-03
2.150000e+00  6.250000e-03
4.640000e+00  4.870000e-03
1.000000e+01  4.090000e-03
2.150000e+01  2.650000e-03
4.640000e+01  2.640000e-03
1.000000e+02  2.060000e-03
2.150000e+02  1.700000e-03
4.640000e+02  1.380000e-03
1.000000e+03  1.320000e-03
2.150000e+03  1.270000e-03
4.640000e+03  1.330000e-03
1.000000e+04  1.450000e-03
1.250000e+04  1.630000e-03
1.580000e+04  1.640000e-03
1.990000e+04  1.720000e-03
2.510000e+04  1.880000e-03
3.160000e+04  2.140000e-03
3.980000e+04  2.320000e-03
5.010000e+04  2.650000e-03
6.300000e+04  3.380000e-03
7.940000e+04  4.150000e-03
1.000000e+05  5.110000e-03
1.250000e+05  6.420000e-03
1.580000e+05  8.050000e-03
1.990000e+05  1.020000e-02
2.510000e+05  1.490000e-02
3.160000e+05  1.600000e-02
3.980000e+05  2.530000e-02
5.010000e+05  3.520000e-02
6.300000e+05  4.970000e-02
7.940000e+05  7.870000e-02
1.000000e+06  1.200000e-01
1.250000e+06  1.220000e-01
1.580000e+06  2.390000e-01
1.990000e+06  4.060000e-01
2.510000e+06  4.570000e-01
3.160000e+06  6.830000e-01
3.980000e+06  5.960000e-01
5.010000e+06  5.670000e-01
6.300000e+06  4.640000e-01
7.940000e+06  5.200000e-02
1.000000e+07  3.380000e-03
1.580000e+07  3.380000e-04
2.510000e+07  0.000000e+00
3.980000e+07  0.000000e+00
6.300000e+07  0.000000e+00
1.000000e+08  0.000000e+00
1.580000e+08  0.000000e+00
2.510000e+08  0.000000e+00
3.980000e+08  0.000000e+00
