# REPRESENTATIVE 90 kVp tungsten X-ray tube spectrum (MODEL, not measured)
# Source: Hamamatsu L9631-15 (W target); 90 kVp; 0.1 mm Cu + ~0.2 mm Be window
# per 20201112_RDS_test report. Kramers brem + W K-lines, NIST-attenuated.
# Col1: photon energy [keV]   Col2: relative intensity dN/dE (arbitrary)
   1.00  1.193554e-07
   1.50  7.912323e-08
   2.00  5.900716e-08
   2.50  4.693751e-08
   3.00  3.889108e-08
   3.50  3.314363e-08
   4.00  2.883304e-08
   4.50  2.548036e-08
   5.00  2.279822e-08
   5.50  2.060374e-08
   6.00  1.877500e-08
   6.50  1.722761e-08
   7.00  1.590128e-08
   7.50  1.475179e-08
   8.00  1.374599e-08
   8.50  1.285851e-08
   9.00  1.206965e-08
   9.50  1.136382e-08
  10.00  1.072857e-08
  10.50  1.031610e-07
  11.00  6.880112e-07
  11.50  3.417500e-06
  12.00  1.335891e-05
  12.50  4.290285e-05
  13.00  1.171202e-04
  13.50  2.792511e-04
  14.00  5.943716e-04
  14.50  1.149510e-03
  15.00  2.049481e-03
  15.50  3.478077e-03
  16.00  5.539682e-03
  16.50  8.355193e-03
  17.00  1.202242e-02
  17.50  1.660770e-02
  18.00  2.214140e-02
  18.50  2.861704e-02
  19.00  3.599377e-02
  19.50  4.420097e-02
  20.00  5.314439e-02
  20.50  6.296406e-02
  21.00  7.332397e-02
  21.50  8.409030e-02
  22.00  9.512918e-02
  22.50  1.063112e-01
  23.00  1.175150e-01
  23.50  1.286294e-01
  24.00  1.395553e-01
  24.50  1.502062e-01
  25.00  1.605086e-01
  25.50  1.704012e-01
  26.00  1.798349e-01
  26.50  1.887714e-01
  27.00  1.971827e-01
  27.50  2.050496e-01
  28.00  2.123607e-01
  28.50  2.191115e-01
  29.00  2.253034e-01
  29.50  2.309427e-01
  30.00  2.360396e-01
  30.50  2.407023e-01
  31.00  2.448454e-01
  31.50  2.484870e-01
  32.00  2.516468e-01
  32.50  2.543458e-01
  33.00  2.566056e-01
  33.50  2.584481e-01
  34.00  2.598953e-01
  34.50  2.609694e-01
  35.00  2.616918e-01
  35.50  2.620839e-01
  36.00  2.621663e-01
  36.50  2.619590e-01
  37.00  2.614812e-01
  37.50  2.607514e-01
  38.00  2.597873e-01
  38.50  2.586058e-01
  39.00  2.572230e-01
  39.50  2.556540e-01
  40.00  2.539133e-01
  40.50  2.519758e-01
  41.00  2.498967e-01
  41.50  2.476881e-01
  42.00  2.453610e-01
  42.50  2.429258e-01
  43.00  2.403925e-01
  43.50  2.377701e-01
  44.00  2.350674e-01
  44.50  2.322924e-01
  45.00  2.294526e-01
  45.50  2.265550e-01
  46.00  2.236062e-01
  46.50  2.206122e-01
  47.00  2.175788e-01
  47.50  2.145113e-01
  48.00  2.114145e-01
  48.50  2.082931e-01
  49.00  2.051512e-01
  49.50  2.019929e-01
  50.00  1.988217e-01
  50.50  1.956108e-01
  51.00  1.923965e-01
  51.50  1.891813e-01
  52.00  1.859678e-01
  52.50  1.827583e-01
  53.00  1.795548e-01
  53.50  1.763593e-01
  54.00  1.731735e-01
  54.50  1.699991e-01
  55.00  1.668376e-01
  55.50  1.636904e-01
  56.00  1.605612e-01
  56.50  1.580259e-01
  57.00  1.815478e-01
  57.50  4.175740e-01
  58.00  6.986827e-01
  58.50  4.966052e-01
  59.00  8.547231e-01
  59.50  1.000000e+00
  60.00  3.606402e-01
  60.50  1.454496e-01
  61.00  1.303426e-01
  61.50  1.272557e-01
  62.00  1.243365e-01
  62.50  1.214452e-01
  63.00  1.185815e-01
  63.50  1.157454e-01
  64.00  1.129368e-01
  64.50  1.101556e-01
  65.00  1.074018e-01
  65.50  1.046982e-01
  66.00  1.044068e-01
  66.50  1.529362e-01
  67.00  3.446552e-01
  67.50  3.344059e-01
  68.00  1.402786e-01
  68.50  9.095774e-02
  69.00  8.635609e-02
  69.50  8.382276e-02
  70.00  8.133352e-02
  70.50  7.888873e-02
  71.00  7.646714e-02
  71.50  7.406864e-02
  72.00  7.169310e-02
  72.50  6.934041e-02
  73.00  6.701042e-02
  73.50  6.470300e-02
  74.00  6.241798e-02
  74.50  6.015520e-02
  75.00  5.791450e-02
  75.50  5.569571e-02
  76.00  5.349864e-02
  76.50  5.132311e-02
  77.00  4.916894e-02
  77.50  4.703594e-02
  78.00  4.492391e-02
  78.50  4.283265e-02
  79.00  4.076197e-02
  79.50  3.871167e-02
  80.00  3.668154e-02
  80.50  3.466510e-02
  81.00  3.266937e-02
  81.50  3.069408e-02
  82.00  2.873898e-02
  82.50  2.680380e-02
  83.00  2.488829e-02
  83.50  2.299219e-02
  84.00  2.111526e-02
  84.50  1.925725e-02
  85.00  1.741792e-02
  85.50  1.559701e-02
  86.00  1.379430e-02
  86.50  1.200955e-02
  87.00  1.024253e-02
  87.50  8.493003e-03
  88.00  6.760747e-03
  88.50  5.045538e-03
  89.00  3.347156e-03
  89.50  1.665381e-03
  90.00  0.000000e+00
